muobs	zHD	zhel	mu-M	mu-M_err
33.25745	0.01012	0.009351	13.90745	0.19825
33.3996	0.01038	0.01164	14.0496	0.2048
33.2748	0.01043	0.008969	13.9248	0.20035
33.3586	0.01082	0.010767	14.0086	0.18445
33.3291	0.01209	0.013201	13.9791	0.1914
33.8066	0.0122	0.012852	14.4566	0.1737
33.8174	0.01226	0.010865	14.4674	0.17765
33.7986	0.01268	0.013232	14.4486	0.171
33.6311	0.01271	0.011698	14.2811	0.1749
33.5403	0.01291	0.014124	14.1903	0.1716
33.90605	0.01318	0.013142	14.55605	0.17285
33.82835	0.01382	0.012549	14.47835	0.15385
33.99805	0.01402	0.014088	14.64805	0.16195
33.9908	0.01447	0.01512	14.6408	0.16555
34.24705	0.01451	0.01587	14.89705	0.16765
34.345349999999996	0.01454	0.014137	14.99535	0.1656
33.9658	0.01472	0.013538	14.6158	0.14905
34.04915	0.01504	0.014905	14.69915	0.1491
33.969300000000004	0.01506	0.015526	14.6193	0.15445
33.885450000000006	0.0152	0.014433	14.53545	0.1635
34.0205	0.0153	0.01577	14.6705	0.1456
33.94755	0.01531	0.016375	14.59755	0.1613
34.09935	0.01531	0.014956	14.74935	0.1526
34.2986	0.01532	0.016385	14.9486	0.16405
33.7807	0.01567	0.014934	14.4307	0.15405
34.108900000000006	0.01568	0.015174	14.7589	0.1525
34.21115	0.01572	0.01647	14.86115	0.1939
34.526849999999996	0.01629	0.01712	15.17685	0.15115
34.2331	0.01635	0.017009	14.8831	0.1518
33.9812	0.01662	0.017019	14.6312	0.14705
34.36385	0.01663	0.016341	15.01385	0.15025
34.276849999999996	0.01678	0.015366	14.92685	0.15925
34.26335	0.01697	0.017842	14.91335	0.1531
34.0197	0.01698	0.016672	14.6697	0.1558
34.206450000000004	0.01705	0.017687	14.85645	0.1832
34.2794	0.01724	0.016623	14.9294	0.1556
34.265600000000006	0.01726	0.016252	14.9156	0.1511
34.2218	0.01732	0.01651	14.8718	0.1587
34.61595	0.0174	0.018024	15.26595	0.1485
34.45	0.01741	0.017684	15.1	0.1498
34.4058	0.01752	0.017937	15.0558	0.1465
34.3341	0.01754	0.016499	14.9841	0.1341
