GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
60708	1.92	3.50569	3.44297	3.56842	-10.8688	-10.93	-10.8077	2.485	1.069824752	0.401621713	1.12969	1.10116	1.15821	2.27	6.2	1.681553475	0.803465575	3.040307149	0.062725	47.77426631	0.216333293	L-G-P	L-G	6.89e-8	7.96e-9	-0.844645	0.302002121	121.922	347.8896667	0.466831588	0.563402127	50.92501587	0.5265	ISM	CPL	50.9	0.5265	28.6591	60708	14.259103713617574	2.2590243454951873
60714	2.71	3.73449	3.68772	3.78125	-10.8586	-10.8938	-10.8234	1.87	0.15	0.14	1.20488	1.16958	1.24019	2.46	6.2	0.843298624	0.09715803	3.16511609	0.046765	47.84924226	0.06117704	L-G-P	L-G	9.13e-8	5.49e-9	-0.651006	0.467112424	80.8231	51.71736364	0.423637042	0.222552048	51.3692448	0.2296	S	CPL	51.4	0.2296	28.8413	60714	12.476117807361783	0.8610166459876499
70306	1.4959	4.86926	4.84102	4.8975	-11.2737	-11.3072	-11.2402	1.831	0.086	0.084	1.89982	1.83794	1.9617	2.7	6.1	0.856778592	0.040369952	4.472032819	0.02824	46.80976681	0.039255488	L-G-P	L-G	2.01e-7	8.99e-9	-1.18761	0.214595455	116.731	276.2137273	0.639264127	0.407557248	51.25954849	0.2776	N/A	CPL	51.3	0.2776	28.5257	70306	12.894322262170256	1.0758556022262793
70508	0.82	3.02525	3.01336	3.03714	-9.16118	-9.17197	-9.15038	1.764	0.037	0.036	1.37377	1.36042	1.38713	2	6	0.868206739	0.011501125	2.765178612	0.01189	48.28276817	0.012232339	L-G-P	L-G	2.24e-6	3.07e-8	-0.678584	0.093997273	213.491	43.08666667	0.570160107	0.031652256	51.6118819	0.0248	ISM	CPL	51.6	0.0248	28.203	70508	11.598989519336717	0.08652130779034303
70521	0.553	3.55243	3.50399	3.60087	-10.0125	-10.0615	-9.96348	1.98	0.808115091	0.513078941	1.44502	1.38882	1.50122	1.8	5.5	0.991234869	0.17468997	3.361258544	0.04844	47.0714055	0.090884585	L-G-P	L-G	8.71e-8	1.2e-8	-0.528335	0.164807273	184.342	61.55121212	0.66213534	0.053106407	49.84872572	0.0693	Wind	CPL	49.8	0.0693	27.9942	70521	19.725843911247694	0.41306818777738774
80310	2.4266	4.326080559	4.2880938	4.364067319	-11.39909559	-11.44156902	-11.35662216	1.878	0.139	0.064	1.595906475	1.530630124	1.661182827	3	6	0.860491657	0.065190955	3.791217148	0.037986759	47.20124797	0.053726597	L-G-P	L-G	7.52e-8	8.93e-9	-0.718262	0.813071212	43.814	16.80633333	0.754567723	0.263836736	51.41946514	0.1604	ISM	CPL	51.4	0.1604	28.7832	80310	12.289247551763971	0.5922502128401452
81221	2.26	2.931957486	2.900780835	2.963134137	-9.354590372	-9.379575872	-9.329604872	1.991	0.056	0.055	1.235861256	1.222999399	1.248723112	2.4	6	0.989420813	0.039328493	2.418739886	0.031176651	49.23122892	0.03036904	L-G-P	L-G	1.47e-6	2.46e-8	-0.786642	0.109054545	141.902	21.64121212	0.380389005	0.038129286	52.33887632	0.0441	N/A	CPL	52.3	0.0441	28.7456	81221	9.32499174100697	0.12346302110193991
91029	2.752	4.303689975	4.269465973	4.337913978	-11.34682089	-11.37245441	-11.32118737	2.064	0.1	0.096	1.121233681	1.094451657	1.148015706	2.8	6.3	1.088310505	0.085471504	3.729427145	0.034224002	47.48793508	0.042666318	L-G-P	L-G	1.09e-7	7.86e-9	-0.926139	0.393725758	53.1629	11.0969697	0.640799263	0.127707212	51.6419751	0.092	S	CPL	51.6	0.092	28.8494	91029	11.494623353109677	0.31776790726895976
061222A	2.088	3.92091	3.89648	3.94535	-9.95369	-9.9768	-9.93058	1.86	0.13	0.12	1.35061	1.33254	1.36869	2.38	6.2	0.853975044	0.072945231	3.431232708	0.024435	48.48429227	0.043706316	L-G-P	L-G	7.33e-7	1.51e-8	-0.486808	0.128506667	225.828	69.03333333	0.268923089	0.040708328	51.80106517	0.0664	Wind	CPL	51.8	0.0664	28.7037	061222A	10.9583868077614	0.2183127007275664
120811C	2.67	3.159095907	3.074895606	3.243296209	-10.14322956	-10.19617642	-10.0902827	1.65	0.40607881	0.224610774	1.016132987	0.978131997	1.054133977	2.3	6	0.63440541	0.157643465	2.594429843	0.084200301	48.42537959	0.120206651	L-G-P	L-G	2.6e-7	1.1e-8	-1.01966	0.252895455	60.0747	8.017272727	0.618820989	0.08111594	51.97322724	0.0598	S	CPL	52	0.0598	28.8335	120811C	10.406399933488231	0.18686204234626275
121128A	2.2	3.23392922	3.204133652	3.263724787	-9.618411717	-9.64710174	-9.589721693	1.9455	0.127475488	0.106800047	1.545465839	1.513020838	1.57791084	2.2	5	0.938575744	0.077502971	2.728779242	0.029795568	48.91600556	0.045925957	L-G-P	L-G	1.04e-6	2.1e-8	-0.495255	0.136096061	107.708	9.817030303	0.374054392	0.035113467	52.15321282	0.0417	ISM	CPL	52.2	0.0417	28.7314	121128A	9.8591898104533	0.12335363306075633
131030A	1.29	2.84594	2.81837	2.87352	-9.29414	-9.31932	-9.26897	1.693	0.051	0.036	1.11188	1.10373	1.12003	2.5	6.2	0.77540841	0.016937741	2.486104518	0.027575	48.58703482	0.026903079	L-G-P	L-G	2.65e-6	4.61e-8	-0.584711	0.113286364	229.293	63.64	0.415626562	0.041193522	52.03424754	0.0437	N/A	CPL	52	0.0437	28.4462	131030A	10.217541069409293	0.13401308230297715
140206A	2.7	3.59073	3.5694	3.61205	-9.7298	-9.74279	-9.7168	1.672	0.117180416	0.073375745	1.22509	1.20954	1.24063	2.6	6.2	0.651073223	0.049187769	3.022528276	0.021325	48.86180876	0.035290123	L-G-P	L-G	1.69e-6	2.62e-8	-0.535721	0.107638182	115.633	9.167878788	0.310069686	0.027645762	52.49739817	0.0393	N/A	CPL	52.5	0.0393	28.8394	140206A	8.891952071288857	0.1048182711406443
